entity_count,specific_verb,generic_verb,propositions,locative,hedge,deictic,metacomment,self_correction,diminutive,quantity,n_word,entity_count_per100,specific_verb_per100,generic_verb_per100,propositions_per100,locative_per100,hedge_per100,deictic_per100,metacomment_per100,self_correction_per100,diminutive_per100,quantity_per100,specific_verb_ratio,region_breadth,label,file
16,7,2,12,3,2,1,1,0,1,1,66,24.242424242424242,10.606060606060606,3.0303030303030303,18.181818181818183,4.545454545454546,3.0303030303030303,1.5151515151515151,1.5151515151515151,0.0,1.5151515151515151,1.5151515151515151,0.7777777777777778,1,0,100tr0.txt
22,11,3,8,3,1,2,0,0,0,0,69,31.884057971014492,15.942028985507246,4.3478260869565215,11.594202898550725,4.3478260869565215,1.4492753623188406,2.898550724637681,0.0,0.0,0.0,0.0,0.7857142857142857,2,0,101tr0.txt
18,10,3,11,4,1,0,0,0,2,1,98,18.367346938775512,10.204081632653061,3.061224489795918,11.224489795918368,4.081632653061225,1.0204081632653061,0.0,0.0,0.0,2.0408163265306123,1.0204081632653061,0.7692307692307693,3,0,102tr0.txt
15,9,2,15,4,1,1,0,0,3,4,128,11.71875,7.03125,1.5625,11.71875,3.125,0.78125,0.78125,0.0,0.0,2.34375,3.125,0.8181818181818182,2,0,103tr0.txt
12,6,3,10,3,3,1,0,0,1,0,85,14.117647058823529,7.0588235294117645,3.5294117647058822,11.764705882352942,3.5294117647058822,3.5294117647058822,1.1764705882352942,0.0,0.0,1.1764705882352942,0.0,0.6666666666666666,3,0,104tr0.txt
15,10,3,12,2,0,1,0,0,1,1,72,20.833333333333332,13.88888888888889,4.166666666666667,16.666666666666668,2.7777777777777777,0.0,1.3888888888888888,0.0,0.0,1.3888888888888888,1.3888888888888888,0.7692307692307693,3,0,105tr0.txt
19,11,3,17,4,1,1,0,0,1,2,126,15.079365079365079,8.73015873015873,2.380952380952381,13.492063492063492,3.1746031746031744,0.7936507936507936,0.7936507936507936,0.0,0.0,0.7936507936507936,1.5873015873015872,0.7857142857142857,1,0,106tr0.txt
17,11,3,11,2,0,0,0,0,1,1,69,24.63768115942029,15.942028985507246,4.3478260869565215,15.942028985507246,2.898550724637681,0.0,0.0,0.0,0.0,1.4492753623188406,1.4492753623188406,0.7857142857142857,3,0,107tr0.txt
18,9,5,10,10,1,0,0,0,1,1,122,14.754098360655737,7.377049180327869,4.098360655737705,8.19672131147541,8.19672131147541,0.819672131147541,0.0,0.0,0.0,0.819672131147541,0.819672131147541,0.6428571428571429,3,0,108tr0.txt
18,10,3,12,3,2,2,0,0,3,1,94,19.148936170212767,10.638297872340425,3.1914893617021276,12.76595744680851,3.1914893617021276,2.127659574468085,2.127659574468085,0.0,0.0,3.1914893617021276,1.0638297872340425,0.7692307692307693,2,0,109tr0.txt
16,10,2,11,2,1,1,0,0,0,0,63,25.396825396825395,15.873015873015873,3.1746031746031744,17.46031746031746,3.1746031746031744,1.5873015873015872,1.5873015873015872,0.0,0.0,0.0,0.0,0.8333333333333334,1,0,10tr0.txt
16,7,1,5,1,1,1,0,0,0,1,45,35.55555555555556,15.555555555555555,2.2222222222222223,11.11111111111111,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.0,0.0,0.0,2.2222222222222223,0.875,1,0,110tr0.txt
15,10,0,6,2,0,1,0,0,1,0,58,25.862068965517242,17.24137931034483,0.0,10.344827586206897,3.4482758620689653,0.0,1.7241379310344827,0.0,0.0,1.7241379310344827,0.0,1.0,1,0,111tr0.txt
14,8,1,8,3,2,1,1,0,2,2,65,21.53846153846154,12.307692307692308,1.5384615384615385,12.307692307692308,4.615384615384615,3.076923076923077,1.5384615384615385,1.5384615384615385,0.0,3.076923076923077,3.076923076923077,0.8888888888888888,2,0,112tr0.txt
18,8,1,17,4,0,1,0,0,0,1,84,21.428571428571427,9.523809523809524,1.1904761904761905,20.238095238095237,4.761904761904762,0.0,1.1904761904761905,0.0,0.0,0.0,1.1904761904761905,0.8888888888888888,3,0,113tr0.txt
10,7,2,9,2,2,1,0,0,1,0,73,13.698630136986301,9.58904109589041,2.73972602739726,12.32876712328767,2.73972602739726,2.73972602739726,1.36986301369863,0.0,0.0,1.36986301369863,0.0,0.7777777777777778,1,0,114tr0.txt
17,11,3,21,6,3,3,0,0,2,1,104,16.346153846153847,10.576923076923077,2.8846153846153846,20.192307692307693,5.769230769230769,2.8846153846153846,2.8846153846153846,0.0,0.0,1.9230769230769231,0.9615384615384616,0.7857142857142857,2,0,115tr0.txt
18,7,4,10,4,0,1,0,0,2,3,70,25.714285714285715,10.0,5.714285714285714,14.285714285714286,5.714285714285714,0.0,1.4285714285714286,0.0,0.0,2.857142857142857,4.285714285714286,0.6363636363636364,2,0,116tr0.txt
16,8,2,15,7,1,1,0,0,1,3,91,17.582417582417584,8.791208791208792,2.197802197802198,16.483516483516482,7.6923076923076925,1.098901098901099,1.098901098901099,0.0,0.0,1.098901098901099,3.2967032967032965,0.8,2,0,117tr0.txt
13,2,0,3,0,0,1,0,0,1,0,28,46.42857142857143,7.142857142857143,0.0,10.714285714285714,0.0,0.0,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,1.0,0,0,118tr0.txt
15,10,1,6,2,0,0,0,0,0,1,56,26.785714285714285,17.857142857142858,1.7857142857142858,10.714285714285714,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,1.7857142857142858,0.9090909090909091,2,0,119tr0.txt
13,7,2,11,4,0,0,0,0,2,0,83,15.662650602409638,8.433734939759036,2.4096385542168677,13.25301204819277,4.819277108433735,0.0,0.0,0.0,0.0,2.4096385542168677,0.0,0.7777777777777778,1,0,11tr0.txt
14,10,1,11,2,0,0,0,0,1,1,60,23.333333333333332,16.666666666666668,1.6666666666666667,18.333333333333332,3.3333333333333335,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.9090909090909091,2,0,120tr0.txt
13,10,3,18,4,1,2,0,0,9,5,134,9.701492537313433,7.462686567164179,2.2388059701492535,13.432835820895523,2.985074626865672,0.746268656716418,1.492537313432836,0.0,0.0,6.7164179104477615,3.7313432835820897,0.7692307692307693,2,0,121tr0.txt
15,10,2,12,4,0,0,0,0,1,0,71,21.12676056338028,14.084507042253522,2.816901408450704,16.901408450704224,5.633802816901408,0.0,0.0,0.0,0.0,1.408450704225352,0.0,0.8333333333333334,2,0,122tr0.txt
19,10,2,17,3,0,1,0,0,2,0,82,23.170731707317074,12.195121951219512,2.4390243902439024,20.73170731707317,3.658536585365854,0.0,1.2195121951219512,0.0,0.0,2.4390243902439024,0.0,0.8333333333333334,2,0,123tr0.txt
17,10,2,16,3,2,4,0,0,1,5,105,16.19047619047619,9.523809523809524,1.9047619047619047,15.238095238095237,2.857142857142857,1.9047619047619047,3.8095238095238093,0.0,0.0,0.9523809523809523,4.761904761904762,0.8333333333333334,2,0,124tr0.txt
14,5,2,7,2,2,1,1,0,3,1,54,25.925925925925927,9.25925925925926,3.7037037037037037,12.962962962962964,3.7037037037037037,3.7037037037037037,1.8518518518518519,1.8518518518518519,0.0,5.555555555555555,1.8518518518518519,0.7142857142857143,2,0,125tr0.txt
15,9,2,13,3,2,2,1,0,6,1,78,19.23076923076923,11.538461538461538,2.5641025641025643,16.666666666666668,3.8461538461538463,2.5641025641025643,2.5641025641025643,1.2820512820512822,0.0,7.6923076923076925,1.2820512820512822,0.8181818181818182,1,0,126tr0.txt
