Majority class,Transcript length only,Surface statistics,LLM features (logreg),Surface + LLM features,TF-IDF word 1-2gram,TF-IDF char 3-5gram,label
0.0,0.5177948218177862,0.3735472224755567,0.38262509227135133,0.2848109118061039,0.4716951173866243,0.43147385124006077,0
0.0,0.4966091871071095,0.4583099812006758,0.6991025784150897,0.5605363784960768,0.30111644389983117,0.36577251172888914,0
0.0,0.2747436456022566,0.13324897875304634,0.4181104844945609,0.20718756020712367,0.33614882878602775,0.3373088501599319,0
0.0,0.14444814979199067,0.08536498203097251,0.07126677497404635,0.02501332093811915,0.37913830389728215,0.33930127845753344,0
0.0,0.37142664708581846,0.1349670931741121,0.2011975309561332,0.1758198210474859,0.5031600591636729,0.4703054560025821,0
0.0,0.46930149174509006,0.31490381363866154,0.4884532787602163,0.2953491090045745,0.3276330691224022,0.3724144129069732,0
0.0,0.1353376866276483,0.106047760053915,0.5428877544549151,0.15415655867460004,0.5347665039164606,0.5560709823653072,0
0.0,0.4901976704921068,0.32847419399759903,0.5312915417372629,0.4337588476189775,0.38902319843892513,0.32619639783255927,0
0.0,0.1612449440688542,0.06720082957055537,0.19982964422926375,0.05165928782413563,0.3573208415048286,0.2904628747560945,0
0.0,0.3174481128065888,0.15449891650194697,0.3925310043497146,0.1639878693486296,0.39966800222649684,0.30084472445555155,0
0.0,0.5399540666641903,0.417001274050589,0.5278799328082198,0.58058981518353,0.2961589557824209,0.37119744364231194,0
0.0,0.6691328388483774,0.655108705257688,0.14661356326737465,0.18310909696795616,0.35329000760544627,0.4292892849083148,0
0.0,0.5844761824460502,0.6415245981933733,0.4980928475078418,0.8792513363915548,0.33248246169991813,0.3543200383620738,0
0.0,0.5248572579423463,0.5706624848330158,0.364890660939472,0.5491859226773554,0.4275976079755301,0.36614113550612515,0
0.0,0.37735188812783516,0.3591008274205373,0.4111361308636606,0.46571963345699363,0.33391200670062265,0.30666748816649575,0
0.0,0.46266656993474903,0.4761116645658762,0.24457376603952952,0.37931831712138614,0.51589736509409,0.45373763405754464,0
0.0,0.24679869221398593,0.16470782629257152,0.7322105363309885,0.1826259674695594,0.40470647475961086,0.41986106535902595,0
0.0,0.4850364319804372,0.2869150028175053,0.33345342484371787,0.13485532206190037,0.3262058388011542,0.35570752879581957,0
0.0,0.31377738469391,0.2933020413849761,0.1517625150679177,0.05168970750266607,0.3677908479378213,0.31433510083229205,0
0.0,0.7741527950997054,0.8696697526065386,0.8616364889413728,0.9180569023817581,0.5609046087779471,0.565437935326051,0
0.0,0.5999892615793613,0.5862440370425719,0.1186815598526767,0.20992012955496203,0.4367392594944203,0.39773161654942263,0
0.0,0.3968328666313564,0.1313007600947127,0.0959865151809929,0.03997237934143427,0.31779493600465114,0.3217242108222108,0
0.0,0.5673435821247333,0.7145166189844727,0.6781495775405295,0.6295245340608171,0.3677081955439268,0.38414997909373394,0
0.0,0.1259095533703644,0.06154248391526711,0.15537969075997876,0.006661635533768873,0.48972448671909835,0.5225755264910561,0
0.0,0.475783535716438,0.49642863184204755,0.5370695884165103,0.25747279288712493,0.27921809788968466,0.33292749546023837,0
0.0,0.38729442137009074,0.3615767493467489,0.7924168629637184,0.4270581964360539,0.3249829778470711,0.28754724510499174,0
0.0,0.24141064667517256,0.13137922939294902,0.42842133610473754,0.046849534595373256,0.47933678125309864,0.43487553366026377,0
0.0,0.6078019999930258,0.5530498930033263,0.739885281403649,0.765988424737941,0.4230583580363752,0.449396507769319,0
0.0,0.42140974719531554,0.3476828014827097,0.349149951107136,0.38616304243913463,0.5157978732213203,0.51622244315424,0
0.0,0.3683440501327683,0.24719888019274103,0.4338788983349107,0.2253712289524195,0.4533661335906386,0.42582447011129726,0
0.0,0.44945540987370114,0.37228462358605907,0.32344333839946854,0.5444623834869681,0.2916815799997307,0.3351441002475999,0
0.0,0.2590519191794186,0.1288992900055716,0.3070461101684142,0.11627645949995033,0.34134464993740543,0.34263250312202287,0
0.0,0.4207731498967348,0.4817300410066189,0.9320427405139974,0.7175375869567624,0.5267854449031962,0.5031303662475805,0
0.0,0.5385482875617982,0.5488003243648047,0.4692718485700419,0.21932429043639087,0.35266401244483486,0.4317896469853232,0
0.0,0.4018951020178883,0.13999105189510502,0.268619757100341,0.09826147295648151,0.4097041110774714,0.37877919564929924,0
0.0,0.4136044935349606,0.23192045776892548,0.44682728219010637,0.25464695839120116,0.34331020106526566,0.29620235703717546,0
0.0,0.5825947187341635,0.3806633136750114,0.2936843287382021,0.2554585192729136,0.41169229202064317,0.39382726081506425,0
0.0,0.6271699062698681,0.5355242214686183,0.41535213276120136,0.4532663484291131,0.4420924767843773,0.4248181439117805,0
0.0,0.7006668764823425,0.7440098294504093,0.1269165234676111,0.33647893527765865,0.35229484567506647,0.36955775743283065,0
0.0,0.29588913499033176,0.2878312053946842,0.39021410408570356,0.3393286284834066,0.41706957680787654,0.4415242996158161,0
